hour_index,generation_kw,load_kw,generation_kwh,load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,soc,cloud,inverter_failed_frac,season,strategy,time_step_min
56,3.5375628104514805,0.5,3.5375628104514805,0.5,0.0,3.0375628104514805,0.0,0.0,13.5,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
57,2.888407939550711,0.5,2.888407939550711,0.5,0.0,2.388407939550711,0.0,0.0,13.5,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
58,2.0424128408893725,0.5,2.0424128408893725,0.5,0.0,1.5424128408893725,0.0,0.0,13.5,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
59,1.0572306823682283,0.5,1.0572306823682283,0.5,0.0,0.5572306823682283,0.0,0.0,13.5,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
60,5.002468696265241e-16,0.5,5.002468696265241e-16,0.5,0.0,0.0,0.0,0.0,12.97295372330527,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
61,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,12.44590744661054,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
62,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,11.918861169915811,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
63,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,11.391814893221081,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
64,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,10.864768616526352,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
65,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,10.337722339831622,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
66,0.0,3.053090784051184,0.0,3.053090784051184,0.0,0.0,0.0,0.0,7.119482079541282,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
67,0.0,2.9024696189420762,0.0,2.9024696189420762,0.0,0.0,0.0,0.0,4.060010467775296,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
68,0.0,1.0825834455576522,0.0,1.0825834455576522,0.0,0.0,0.0,0.0,2.918867319390271,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
69,0.0,0.6527459442456381,0.0,0.6527459442456381,0.0,0.0,0.0,0.0,2.2308126803057724,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
70,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.7037664036110425,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
71,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.1767201269163126,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
72,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.6496738502215826,0.7829353209129744,0.0,Spring,CHARGE_PRIORITY,60
73,0.28090236483394543,0.5,0.28090236483394543,0.5,0.0,0.0,0.0,0.0,0.3891149554277087,0.7829353209129744,0.0,Spring,CHARGE_PRIORITY,60
74,0.542661697717564,0.5,0.542661697717564,0.5,0.0,0.0,0.0,0.0,0.37688276784936836,0.7829353209129744,0.0,Spring,CHARGE_PRIORITY,60
75,0.767439532692588,0.5,0.767439532692588,0.5,0.0,0.0,0.0,0.0,0.5778935580837878,0.7829353209129744,0.0,Spring,CHARGE_PRIORITY,60
